Month,Day,Year,thuc_test_goodwin_nhdplus_Total Streamflow [Mg],thuc_test_goodwin_nhdplus__Sediment: All: Total [Mg],thuc_test_goodwin_topagnps_Direct Runoff [Mg],thuc_test_goodwin_topagnps_Sediment: All: Total [Mg]
1,1,1990,3.008,0,25.199,0
1,2,1990,11.813,0,24.095,0
1,3,1990,1233.804,0.979,20318.822,28.307
1,4,1990,7028.291,5.914,55850.757,70.405
1,5,1990,15540.868,13.278,3314.385,7.225
1,6,1990,19085.926,16.412,41.784,0.031
1,7,1990,14832.151,12.662,5773.089,10.748
1,8,1990,9808.619,8.306,28.062,0
1,9,1990,4920.309,4.079,27.207,0
1,10,1990,1455.069,1.105,25.926,0
1,11,1990,756.506,0.564,24.577,0
1,12,1990,334.524,0.233,23.282,0
1,13,1990,50.892,0.008,22.093,0
1,14,1990,38.746,0,20.924,0
1,15,1990,36.576,0,19.77,0
1,16,1990,34.555,0,18.71,0
1,17,1990,3945.242,3.77,64248.302,84.745
1,18,1990,11818.644,11.376,402.058,2.586
1,19,1990,17210.86,16.588,4239.778,10.227
1,20,1990,20305.833,18.755,105399.168,107.129
1,21,1990,28930.532,25.424,22.21,0
1,22,1990,32306.413,27.652,22.864,0
1,23,1990,22003.401,18.54,22.323,0
1,24,1990,13728.409,11.523,96.275,0.058
1,25,1990,5711.033,4.755,20.834,0
1,26,1990,272.728,0.17,20.085,0
1,27,1990,70.414,0.008,19.196,0
1,28,1990,2875.773,2.566,47214.093,66.15
1,29,1990,10483.252,9.347,33268.941,47.374
1,30,1990,18067.139,15.966,20.353,0
1,31,1990,17733.105,15.485,20.46,0
2,1,1990,13750.735,11.997,24157.67,32.944
2,2,1990,27968.374,30.575,270148.219,404.096
2,3,1990,127951.008,218.149,1053552.15,2877.343
2,4,1990,284060.594,538.308,43.8,0
2,5,1990,353125.745,705.542,41.55,0
2,6,1990,260663.221,527.394,38.861,0
2,7,1990,156571.524,323.546,34.966,0
2,8,1990,59876.744,128.425,33.32,0.014
2,9,1990,22141.348,27.103,316220.994,444.309
2,10,1990,62133.78,69.63,31385.68,31.64
2,11,1990,91653.089,101.429,36.103,0
2,12,1990,73486.591,79.68,35.715,0
2,13,1990,47511.49,51.064,32.542,0
2,14,1990,21209.444,22.233,29.374,0
2,15,1990,9729.438,7.974,121538.828,128.645
2,16,1990,22596.58,18.791,27.29,0
2,17,1990,32189.517,26.804,27.623,0
2,18,1990,24518.174,20.408,26.685,0
2,19,1990,15520.913,12.905,24.901,0
2,20,1990,6523.587,5.403,23.395,0
2,21,1990,1071.917,0.789,13897.89,17.908
2,22,1990,6263.664,5.142,62533.671,73.577
2,23,1990,14887.121,12.564,21.682,0
2,24,1990,18936.822,16.216,21.713,0
2,25,1990,14085.217,12.091,21.005,0
2,26,1990,8562.912,7.378,20.062,0
2,27,1990,3336.016,2.887,18.778,0
2,28,1990,153.64,0.098,32.307,0.025
3,1,1990,5811.018,5.481,93599.538,112.986
3,2,1990,21148.049,19.877,63017.337,74.915
3,3,1990,36189.129,33.808,20.203,0
3,4,1990,35215.458,32.635,20.887,0
3,5,1990,24393.066,22.541,20.107,0
3,6,1990,12900.438,11.839,21.419,0
3,7,1990,20852.56,24.925,273504.671,419.148
3,8,1990,66379.441,82.409,226632.56,350.12
3,9,1990,117000.909,144.236,29.146,0
3,10,1990,117556.456,143.751,29.003,0
3,11,1990,82216.445,100.273,27.256,0.002
3,12,1990,44385.386,53.843,310.478,1.727
3,13,1990,12905.255,15.41,23.591,0
3,14,1990,584.824,0.695,94.369,0.08
3,15,1990,20526.185,28.25,320506.529,554.557
3,16,1990,61202.52,84.367,24.404,0
3,17,1990,87333.237,120.452,24.901,0
3,18,1990,66479.372,91.677,23.925,0
3,19,1990,42045.209,57.97,22.507,0
3,20,1990,17618.541,24.267,21.246,0
3,21,1990,630.762,0.816,19.71,0
3,22,1990,37.082,3.30E-06,17.958,0
3,23,1990,34.735,0,16.242,0
3,24,1990,32.433,0,14.427,0
3,25,1990,53.1,0.049,168.455,1.342
3,26,1990,124.494,0.2,201.079,1.508
